id,code,name,plan_id/id,parent_id/id,line_seq
fund_0000,0000,ไม่ระบุกองทุน,analytic_plan_funds,,0
fund_0100,0100,กองทุนทั่วไป,analytic_plan_funds,,1
fund_0200,0200,กองทุนเพื่อการศึกษา,analytic_plan_funds,,2
fund_0300,0300,กองทุนวิจัย,analytic_plan_funds,,3
fund_0400,0400,กองทุนบริการวิชาการ,analytic_plan_funds,,4
fund_0500,0500,กองทุนกิจการนักศึกษา,analytic_plan_funds,,5
fund_0600,0600,กองทุนสินทรัพย์ถาวร,analytic_plan_funds,,6
fund_0700,0700,กองทุนอื่น,analytic_plan_funds,,7
fund_0701,0701,กองทุนทำนุบำรุงศิลปวัฒนธรรม,analytic_plan_funds,fund_0700,8
fund_0702,0702,กองทุนสำรอง,analytic_plan_funds,fund_0700,9
fund_0703,0703,กองทุนพัฒนาบุคลากร,analytic_plan_funds,fund_0700,10
fund_0704,0704,กองทุนบูรณาการ,analytic_plan_funds,fund_0700,11
fund_0705,0705,กองทุนยุทธศาสตร์,analytic_plan_funds,fund_0700,12
"activity_00","00",ไม่ระบุด้าน,analytic_plan_activities,,
"activity_09","09",ด้านการพัฒนาประชากร,analytic_plan_activities,,
"activity_09007","09007",แผนงานจัดการศึกษาอุดมศึกษา,analytic_plan_activities,activity_09,
"activity_090070101","090070101",กิจกรรมหลัก งานสนับสนุนการจัดการศึกษา,analytic_plan_activities,activity_09007,
"activity_09007010110","09007010110",กิจกรรมรอง กิจกรรมบริหารทั่วไป,analytic_plan_activities,activity_090070101,
"activity_09007010110170","09007010110170",กิจกรรมย่อย งานด้านบริหารทั่วไป (รวมบริหารจัดการกลาง),analytic_plan_activities,activity_09007010110,
"activity_09007010110180","09007010110180",กิจกรรมย่อย งานด้านทรัพยากรบุคคลและนิติการ,analytic_plan_activities,activity_09007010110,
"activity_09007010110190","09007010110190",กิจกรรมย่อย งานด้านอาคารสถานที่ บำรุงรักษาและยานพาหนะ ระบบสาธารณูปโภค,analytic_plan_activities,activity_09007010110,
"activity_09007010110200","09007010110200",กิจกรรมย่อย งานด้านนโยบาย แผนพัฒนา แผนงบประมาณ วิจัยสถาบันและการประกันคุณภาพการศึกษา,analytic_plan_activities,activity_09007010110,
"activity_09007010110210","09007010110210",กิจกรรมย่อย งานด้านการเงิน บัญชี งบประมาณ และพัสดุ,analytic_plan_activities,activity_09007010110,
"activity_09007010110220","09007010110220",กิจกรรมย่อย งานด้านวิเทศสัมพันธ์,analytic_plan_activities,activity_09007010110,
"activity_09007010110230","09007010110230",กิจกรรมย่อย งานด้านโรงพิมพ์ สารนิเทศและประชาสัมพันธ์,analytic_plan_activities,activity_09007010110,
"activity_09007010111","09007010111",กิจกรรมรอง กิจกรรมทะเบียนนักศึกษาและประมวลผล,analytic_plan_activities,activity_090070101,
"activity_09007010111114","09007010111114",กิจกรรมย่อย งานด้านรับเข้านักศึกษาและทะเบียนประวัติ,analytic_plan_activities,activity_09007010111,
"activity_09007010111115","09007010111115",กิจกรรมย่อย งานด้านทะเบียนการศึกษา,analytic_plan_activities,activity_09007010111,
"activity_09007010111116","09007010111116",กิจกรรมย่อย งานด้านบริหารการเรียนการสอน,analytic_plan_activities,activity_09007010111,
"activity_09007010111117","09007010111117",กิจกรรมย่อย งานด้านประมวลผลการศึกษา,analytic_plan_activities,activity_09007010111,
"activity_09007010111118","09007010111118",กิจกรรมย่อย งานด้านตรวจสอบและรับรองผลการศึกษา,analytic_plan_activities,activity_09007010111,
"activity_09007010112","09007010112",กิจกรรมรอง กิจกรรมบริการห้องสมุดและเทคโนโลยีทางการศึกษา,analytic_plan_activities,activity_090070101,
"activity_09007010112123","09007010112123",กิจกรรมย่อย งานด้านเทคนิค,analytic_plan_activities,activity_09007010112,
"activity_09007010112124","09007010112124",กิจกรรมย่อย งานด้านบริการสารนิเทศ,analytic_plan_activities,activity_09007010112,
"activity_09007010112125","09007010112125",กิจกรรมย่อย งานเทคโนโลยีสารสนเทศ,analytic_plan_activities,activity_09007010112,
"activity_09007010113","09007010113",กิจกรรมรอง กิจกรรมบริการคอมพิวเตอร์ทางวิชาการ,analytic_plan_activities,activity_090070101,
"activity_09007010113133","09007010113133",กิจกรรมย่อย งานด้านควบคุมเครื่องและระบบเครือข่าย,analytic_plan_activities,activity_09007010113,
"activity_09007010113134","09007010113134",กิจกรรมย่อย งานด้านบริการคอมพิวเตอร์,analytic_plan_activities,activity_09007010113,
"activity_09007010114","09007010114",กิจกรรมรอง กิจกรรมบริหารวิชาการ (รวมงานบริการทุนการศึกษา),analytic_plan_activities,activity_090070101,
"activity_09007010114142","09007010114142",กิจกรรมย่อย งานวิชาการและมาตรฐานการศึกษา,analytic_plan_activities,activity_09007010114,
"activity_09007010114143","09007010114143",กิจกรรมย่อย งานบริหารจัดการศึกษาทั่วไป,analytic_plan_activities,activity_09007010114,
"activity_09007010114144","09007010114144",กิจกรรมย่อย งานส่งเสริมและพัฒนาการศึกษา,analytic_plan_activities,activity_09007010114,
"activity_09007010114145","09007010114145",กิจกรรมย่อย งานบริการทุนการศึกษา (ระดับปริญญาตรี โท-เอก),analytic_plan_activities,activity_09007010114,
"activity_09007010115","09007010115",กิจกรรมรอง กิจกรรมพัฒนาคุณภาพนักศึกษา,analytic_plan_activities,activity_090070101,
"activity_09007010115151","09007010115151",กิจกรรมย่อย งานด้านกิจกรรมนักศึกษา,analytic_plan_activities,activity_09007010115,
"activity_09007010115152","09007010115152",กิจกรรมย่อย งานด้านบริการนักศึกษา,analytic_plan_activities,activity_09007010115,
"activity_09007010116","09007010116",กิจกรรมรอง กิจกรรมพัฒนาบุคลากรทางวิชาการ,analytic_plan_activities,activity_090070101,
"activity_09007010116161","09007010116161",กิจกรรมย่อย การฝึกอบรม/สัมมนา/ศึกษาดูงาน,analytic_plan_activities,activity_09007010116,
"activity_09007010116162","09007010116162",กิจกรรมย่อย การศึกษาต่อ,analytic_plan_activities,activity_09007010116,
"activity_09007010116163","09007010116163",กิจกรรมย่อย การส่งเสริม/สนับสนุนการพัฒนาวิชาการ,analytic_plan_activities,activity_09007010116,
"activity_09007010117","09007010117",กิจกรรมรอง กิจกรรมผลิตและพัฒนาสื่อการศึกษา,analytic_plan_activities,activity_090070101,
"activity_09007010117171","09007010117171",กิจกรรมย่อย อุปกรณ์การสอน และพัฒนาต้นแบบชุดสื่อการสอน,analytic_plan_activities,activity_09007010117,
"activity_09007010117172","09007010117172",กิจกรรมย่อย บริการเครื่องมือเทคโนโลยีทางการศึกษา(รวมบริการด้านโสตทัศนศึกษา),analytic_plan_activities,activity_09007010117,
"activity_09007010118","09007010118",กิจกรรมรอง กิจกรรมพัฒนาหลักสูตรและการเรียนการสอน,analytic_plan_activities,activity_090070101,
"activity_09007010118181","09007010118181",กิจกรรมย่อย การปรับปรุงและพัฒนาหลักสูตร,analytic_plan_activities,activity_09007010118,
"activity_09007010118182","09007010118182",กิจกรรมย่อย การประเมินผลโครงสร้างหลักสูตร,analytic_plan_activities,activity_09007010118,
"activity_09007010118183","09007010118183",กิจกรรมย่อย การบริหารและสนับสนุนวิชาการ,analytic_plan_activities,activity_09007010118,
"activity_09007010119","09007010119",กิจกรรมรอง กิจกรรมส่งเสริมการผลิตตำรา,analytic_plan_activities,activity_090070101,
"activity_09007010119191","09007010119191",กิจกรรมย่อย ผลิตและพัฒนาตำราในสาขาวิชาต่าง ๆ,analytic_plan_activities,activity_09007010119,
"activity_090070102","090070102",กิจกรรมหลัก งานจัดการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,analytic_plan_activities,activity_09007,
"activity_09007010220","09007010220",กิจกรรมรอง กิจกรรมสาขาครุศาสตร์อุตสาหกรรม,analytic_plan_activities,activity_090070102,
"activity_09007010220211","09007010220211",กิจกรรมย่อย ระดับปริญญาตรี,analytic_plan_activities,activity_09007010220,
"activity_09007010220212","09007010220212",กิจกรรมย่อย ระดับปริญญาโท-เอก,analytic_plan_activities,activity_09007010220,
"activity_09007010220213","09007010220213",กิจกรรมย่อย สอนบริการวิชาพื้นฐานและวิชาเลือก/โท,analytic_plan_activities,activity_09007010220,
"activity_09007010221","09007010221",กิจกรรมรอง กิจกรรมสาขาวิทยาศาสตร์,analytic_plan_activities,activity_090070102,
"activity_09007010221211","09007010221211",กิจกรรมย่อย ระดับปริญญาตรี,analytic_plan_activities,activity_09007010221,
"activity_09007010221212","09007010221212",กิจกรรมย่อย ระดับปริญญาโท-เอก,analytic_plan_activities,activity_09007010221,
"activity_09007010221213","09007010221213",กิจกรรมย่อย สอนบริการวิชาพื้นฐานและวิชาเลือก/โท,analytic_plan_activities,activity_09007010221,
