id,short_name
account_analytic_kmitl.dept_01,วศ
account_analytic_kmitl.dept_01030,วศ
account_analytic_kmitl.dept_01031,วศ
account_analytic_kmitl.dept_01040,วศ
account_analytic_kmitl.dept_01041,วศ
account_analytic_kmitl.dept_01042,วศ
account_analytic_kmitl.dept_01043,วศ
account_analytic_kmitl.dept_01050,วศ
account_analytic_kmitl.dept_01060,วศ
account_analytic_kmitl.dept_01070,วศ
account_analytic_kmitl.dept_01071,วศ
account_analytic_kmitl.dept_01072,วศ
account_analytic_kmitl.dept_01080,วศ
account_analytic_kmitl.dept_01081,วศ
account_analytic_kmitl.dept_01090,วศ
account_analytic_kmitl.dept_01091,วศ
account_analytic_kmitl.dept_01120,วศ
account_analytic_kmitl.dept_01130,วศ
account_analytic_kmitl.dept_01160,วศ
account_analytic_kmitl.dept_01170,วศ
account_analytic_kmitl.dept_01280,วศ
account_analytic_kmitl.dept_01281,วศ
account_analytic_kmitl.dept_01290,วศ
account_analytic_kmitl.dept_01300,วศ
account_analytic_kmitl.dept_01310,วศ
account_analytic_kmitl.dept_01302,วศ
account_analytic_kmitl.dept_01303,วศ
account_analytic_kmitl.dept_01304,วศ
account_analytic_kmitl.dept_01305,วศ
account_analytic_kmitl.dept_01306,วศ
account_analytic_kmitl.dept_01307,วศ
account_analytic_kmitl.dept_01308,วศ
account_analytic_kmitl.dept_01309,วศ
account_analytic_kmitl.dept_01311,วศ
account_analytic_kmitl.dept_01312,วศ
account_analytic_kmitl.dept_01320,วศ
account_analytic_kmitl.dept_01330,วศ
account_analytic_kmitl.dept_02,สถ
account_analytic_kmitl.dept_02090,สถ
account_analytic_kmitl.dept_02020,สถ
account_analytic_kmitl.dept_02040,สถ
account_analytic_kmitl.dept_02050,สถ
account_analytic_kmitl.dept_02130,สถ
account_analytic_kmitl.dept_02140,สถ
account_analytic_kmitl.dept_02160,สถ
account_analytic_kmitl.dept_02180,สถ
account_analytic_kmitl.dept_02200,สถ
account_analytic_kmitl.dept_03,คอ
account_analytic_kmitl.dept_03020,คอ
account_analytic_kmitl.dept_03040,คอ
account_analytic_kmitl.dept_03050,คอ
account_analytic_kmitl.dept_03070,คอ
account_analytic_kmitl.dept_03130,คอ
account_analytic_kmitl.dept_03140,คอ
account_analytic_kmitl.dept_03150,คอ
account_analytic_kmitl.dept_05,วท
account_analytic_kmitl.dept_05100,วท
account_analytic_kmitl.dept_05170,วท
account_analytic_kmitl.dept_05180,วท
account_analytic_kmitl.dept_05190,วท
account_analytic_kmitl.dept_05200,วท
account_analytic_kmitl.dept_05210,วท
account_analytic_kmitl.dept_05220,วท
account_analytic_kmitl.dept_05230,วท
account_analytic_kmitl.dept_05240,วท
account_analytic_kmitl.dept_04,กษ
account_analytic_kmitl.dept_04040,กษ
account_analytic_kmitl.dept_04110,กษ
account_analytic_kmitl.dept_04150,กษ
account_analytic_kmitl.dept_04160,กษ
account_analytic_kmitl.dept_04170,กษ
account_analytic_kmitl.dept_04180,กษ
account_analytic_kmitl.dept_06,ทส
account_analytic_kmitl.dept_06030,ทส
account_analytic_kmitl.dept_06040,ทส
account_analytic_kmitl.dept_06050,ทส
account_analytic_kmitl.dept_17,ออ
account_analytic_kmitl.dept_17030,ออ
account_analytic_kmitl.dept_17040,ออ
account_analytic_kmitl.dept_17050,ออ
account_analytic_kmitl.dept_17060,ออ
account_analytic_kmitl.dept_17070,ออ
account_analytic_kmitl.dept_17080,ออ
account_analytic_kmitl.dept_08,สท
account_analytic_kmitl.dept_09,สค
account_analytic_kmitl.dept_10,สร
account_analytic_kmitl.dept_11,ชพ
account_analytic_kmitl.dept_11080,ชพ
account_analytic_kmitl.dept_11090,ชพ
account_analytic_kmitl.dept_11100,ชพ
account_analytic_kmitl.dept_11140,ชพ
account_analytic_kmitl.dept_11150,ชพ
account_analytic_kmitl.dept_11160,ชพ
account_analytic_kmitl.dept_89,สอ
account_analytic_kmitl.dept_89300,สอ
account_analytic_kmitl.dept_89310,สอ
account_analytic_kmitl.dept_89320,สอ
account_analytic_kmitl.dept_89330,สอ
account_analytic_kmitl.dept_89340,สอ
account_analytic_kmitl.dept_89350,สอ
account_analytic_kmitl.dept_89360,สอ
account_analytic_kmitl.dept_89370,สอ
account_analytic_kmitl.dept_89380,สอ
account_analytic_kmitl.dept_89390,สอ
account_analytic_kmitl.dept_89400,สอ
account_analytic_kmitl.dept_89410,สอ
account_analytic_kmitl.dept_89401,สอ
account_analytic_kmitl.dept_89402,สอ
account_analytic_kmitl.dept_89403,สอ
account_analytic_kmitl.dept_89404,สอ
account_analytic_kmitl.dept_89405,สอ
account_analytic_kmitl.dept_89406,สอ
account_analytic_kmitl.dept_89407,สอ
account_analytic_kmitl.dept_89408,สอ
account_analytic_kmitl.dept_89420,สอ
account_analytic_kmitl.dept_89430,สอ
account_analytic_kmitl.dept_89440,สอ
account_analytic_kmitl.dept_89450,สอ
account_analytic_kmitl.dept_99,สว
account_analytic_kmitl.dept_99040,สว
account_analytic_kmitl.dept_99060,สว
account_analytic_kmitl.dept_99070,สว
account_analytic_kmitl.dept_99080,สว
account_analytic_kmitl.dept_31,วว
account_analytic_kmitl.dept_31020,วว
account_analytic_kmitl.dept_31030,วว
account_analytic_kmitl.dept_31040,วว
account_analytic_kmitl.dept_31050,วว
account_analytic_kmitl.dept_32,นว
account_analytic_kmitl.dept_32020,นว
account_analytic_kmitl.dept_32030,นว
account_analytic_kmitl.dept_32040,นว
account_analytic_kmitl.dept_33,สอ
account_analytic_kmitl.dept_33030,สอ
account_analytic_kmitl.dept_33040,สอ
account_analytic_kmitl.dept_33050,สอ
account_analytic_kmitl.dept_33060,สอ
account_analytic_kmitl.dept_36,บธ
account_analytic_kmitl.dept_36010,บธ
account_analytic_kmitl.dept_36060,บธ
account_analytic_kmitl.dept_36090,บธ
account_analytic_kmitl.dept_37,สศ
account_analytic_kmitl.dept_38,พศ
account_analytic_kmitl.dept_38010,พศ
account_analytic_kmitl.dept_38020,พศ
account_analytic_kmitl.dept_38030,พศ
account_analytic_kmitl.dept_38040,พศ
account_analytic_kmitl.dept_39,นอ
account_analytic_kmitl.dept_39010,นอ
account_analytic_kmitl.dept_39020,นอ
account_analytic_kmitl.dept_39030,นอ
account_analytic_kmitl.dept_39050,นอ
account_analytic_kmitl.dept_40,วก
account_analytic_kmitl.dept_40010,วก
account_analytic_kmitl.dept_40020,วก
account_analytic_kmitl.dept_40030,วก
account_analytic_kmitl.dept_40040,วก
account_analytic_kmitl.dept_41,ศศ
account_analytic_kmitl.dept_41010,ศศ
account_analytic_kmitl.dept_41020,ศศ
account_analytic_kmitl.dept_41030,ศศ
account_analytic_kmitl.dept_41040,ศศ
account_analytic_kmitl.dept_42,วส
account_analytic_kmitl.dept_42010,วส
account_analytic_kmitl.dept_42020,วส
account_analytic_kmitl.dept_42030,วส
account_analytic_kmitl.dept_42040,วส
account_analytic_kmitl.dept_43,สม
account_analytic_kmitl.dept_44,รพ
account_analytic_kmitl.dept_44010,รพ
account_analytic_kmitl.dept_44020,รพ
account_analytic_kmitl.dept_44030,รพ
account_analytic_kmitl.dept_45,ทพ
account_analytic_kmitl.dept_45010,ทพ
account_analytic_kmitl.dept_45020,ทพ
account_analytic_kmitl.dept_45030,ทพ
account_analytic_kmitl.dept_45040,ทพ
account_analytic_kmitl.dept_46,บก
account_analytic_kmitl.dept_47,พย
account_analytic_kmitl.dept_47010,พย
account_analytic_kmitl.dept_47020,พย

