id,budget_type,code,name,parent_id/id,note,active,fund_analytic_ids/id
budget_account_51000,expense,51000,งบบุคลากร,,,true,
budget_account_51100,expense,51100,ค่าใช้จ่ายบุคลากร,budget_account_51000,,true,
budget_account_5101010000,expense,5101010000,เงินเดือนและค่าจ้าง,budget_account_51100,,true,
budget_account_5101010001,expense,5101010001,เงินเดือน,budget_account_5101010000,,true,
budget_account_5101010002,expense,5101010002,ค่าจ้างประจำ,budget_account_5101010000,,true,
budget_account_5101010003,expense,5101010003,ค่าจ้างชั่วคราว,budget_account_5101010000,,true,
budget_account_5101010004,expense,5101010004,เงินประจำตำแหน่งผู้บริหาร,budget_account_5101010000,"สำหรับข้าราชการ/พนักงานเงินงบประมาณที่ไม่สามารถเบิกเงินงบประมาณแผ่นดินได้ และพนักงานเงินรายได้",true,
budget_account_5101010005,expense,5101010005,เงินประจำตำแหน่งวิชาชีพเฉพาะ/ชำนาญการ,budget_account_5101010000,,true,
budget_account_5101010006,expense,5101010006,เงินประจำตำแหน่งทางวิชาการ ผศ./รศ./ศ.,budget_account_5101010000,,true,
budget_account_5101010007,expense,5101010007,เงินประจำตำแหน่งผู้เชี่ยวชาญ,budget_account_5101010000,,true,
budget_account_5101010009,expense,5101010009,ค่าครองชีพลูกจ้างชั่วคราวเงินรายได้,budget_account_5101010000,,true,
budget_account_5101010011,expense,5101010011,เงินตอบแทนพิเศษของข้าราชการผู้ได้รับเงินเดือนถึงขั้นสูงของอันดับ-172-330,budget_account_5101010000,,true,
budget_account_5101010012,expense,5101010012,เงินตอบแทนพิเศษของลูกจ้างประจำผู้ได้รับค่าจ้างถึงขั้นสูงของตำแหน่ง-173-340,budget_account_5101010000,,true,
budget_account_5101010013,expense,5101010013,เงินโบนัส,budget_account_5101010000,,true,
budget_account_5101010015,expense,5101010015,เงินรางวัลสำหรับผู้บริหาร,budget_account_5101010000,,true,
budget_account_5101010016,expense,5101010016,เงินรางวัลสำหรับหน่วยงาน,budget_account_5101010000,,true,
budget_account_5101010017,expense,5101010017,ค่าจ้างลูกจ้างสัญญาจ้าง (พนักงานเงินรายได้),budget_account_5101010000,,true,
budget_account_5101010020,expense,5101010020,เงินประจำตำแหน่งวิชาชีพเฉพาะ 120 (เงินงบประมาณและเงินรายได้),budget_account_5101010000,,true,
budget_account_5101010021,expense,5101010021,ค่าครองชีพชั่วคราวสำหรับลูกจ้างประจำ 181,budget_account_5101010000,,true,
budget_account_5101010022,expense,5101010022,ค่าครองชีพชั่วคราวสำหรับข้าราชการ 180,budget_account_5101010000,,true,
budget_account_5101010023,expense,5101010023,เงินสมนาคุณนายกสภา(ส่วนที่ต้องสมทบเงินงบประมาณแผ่นดิน),budget_account_5101010000,,true,
budget_account_5101010025,expense,5101010025,ค่าครองชีพชั่วคราวพนักงานเงินรายได้,budget_account_5101010000,,true,
budget_account_5101010038,expense,5101010038,ค่าจ้างพนักงานสถาบันประเภทพิเศษ,budget_account_5101010000,,true,
budget_account_5101010039,expense,5101010039,ค่าตอบแทนการใช้ภาษาต่างประเทศ,budget_account_5101010000,,true,
