id,date,department_analytic_id/id,source_analytic_id/id,date_range_fy_id/id,journal_id/id,move_type
dept_03_source_4_68,2025-07-22,account_analytic_kmitl.dept_03,account_analytic_kmitl.source_4,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal,Budget Appropriation
dept_03020_source_2_68,2025-07-02,account_analytic_kmitl.dept_03020,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal,Budget Appropriation
dept_89380_source_2_68,2025-07-02,account_analytic_kmitl.dept_89380,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal,Budget Appropriation
dept_03040_source_2_68,2025-07-02,account_analytic_kmitl.dept_03040,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal,Budget Appropriation
dept_03150_source_2_68,2025-07-02,account_analytic_kmitl.dept_03150,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal,Budget Appropriation
dept_03050_source_2_68,2025-07-02,account_analytic_kmitl.dept_03050,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal,Budget Appropriation
dept_89340_source_2_68,2025-07-02,account_analytic_kmitl.dept_89340,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal,Budget Appropriation
dept_03140_source_2_68,2025-07-02,account_analytic_kmitl.dept_03140,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal,Budget Appropriation
dept_03070_source_2_68,2025-07-02,account_analytic_kmitl.dept_03070,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal,Budget Appropriation
dept_09_source_2_68,2025-07-02,account_analytic_kmitl.dept_09,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal,Budget Appropriation
budget_move_10_5cafbedb,2025-07-02,account_analytic_kmitl.dept_03,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal,Budget Appropriation
budget_move_8_09ff6f88,2025-07-02,account_analytic_kmitl.dept_10,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal,Budget Appropriation
budget_move_7_b2d06ca9,2025-07-02,account_analytic_kmitl.dept_41,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal,Budget Appropriation
budget_move_12_0ba4d7c2,2025-07-02,account_analytic_kmitl.dept_40,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal,Budget Appropriation
budget_move_9_14149906,2025-07-02,account_analytic_kmitl.dept_06,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal,Budget Appropriation
