id,move_id/id,account_id/id,balance,source_analytic_id/id,department_analytic_id/id,activity_analytic_id/id,fund_analytic_id/id,note
budget_move_line_1611_25a64299,dept_03_source_4_68,budget.budget_account_5104010285,50000,account_analytic_kmitl.source_4,account_analytic_kmitl.dept_03,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0100,
budget_move_line_1613_395269c9,dept_03_source_4_68,budget.budget_account_5101010022,35000,account_analytic_kmitl.source_4,account_analytic_kmitl.dept_03,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0100,
budget_move_line_1615_03c25042,dept_03_source_4_68,budget.budget_account_5101010004,0,account_analytic_kmitl.source_4,account_analytic_kmitl.dept_03,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0400,"- ทดสอบหมายเหตุ 1\n- ทดสอบหมายเหตุ 2 \n- ทดสอบหมายเหตุ 3\n- ทดสอบหมายเหตุ 4"
budget_move_line_1617_99e94f88,dept_03_source_4_68,budget.budget_account_5101010012,75000,account_analytic_kmitl.source_4,account_analytic_kmitl.dept_03,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0400,
budget_move_line_875_45a78cfc,dept_03020_source_2_68,budget.budget_account_5101020012,20000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03020,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0200,
budget_move_line_876_9183fb8c,dept_03020_source_2_68,budget.budget_account_5104010103,30000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03020,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0200,
budget_move_line_877_19c788c4,dept_03020_source_2_68,budget.budget_account_5101020013,490800,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03020,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_878_2b62afc8,dept_03020_source_2_68,budget.budget_account_5101020018,250000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03020,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_879_d6b88a8f,dept_03020_source_2_68,budget.budget_account_5101020023,200000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03020,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_880_d9fb13e1,dept_03020_source_2_68,budget.budget_account_5101020020,50000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03020,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_881_cc4732e1,dept_03020_source_2_68,budget.budget_account_5103010000,100000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03020,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_882_43236939,dept_03020_source_2_68,budget.budget_account_5103020000,190300,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03020,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_883_94c98570,dept_03020_source_2_68,budget.budget_account_5104010103,21400,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03020,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_884_f0375d53,dept_03020_source_2_68,budget.budget_account_5104010204,20000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03020,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0600,
budget_move_line_841_d21d1fc6,dept_89380_source_2_68,budget.budget_account_5101010000,0,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89380,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0100,งบบุคลากร จัดสรรภาพรวมไว้ที่งบกลาง
budget_move_line_842_d1bd46ba,dept_89380_source_2_68,budget.budget_account_5101010010,10000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89380,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0100,
budget_move_line_843_bb87feb7,dept_89380_source_2_68,budget.budget_account_5104030201,30000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89380,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0100,
budget_move_line_844_fa4a875a,dept_89380_source_2_68,budget.budget_account_5104010202,20000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89380,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0100,
budget_move_line_845_db64b6c3,dept_89380_source_2_68,budget.budget_account_5104010212,40000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89380,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0100,
budget_move_line_846_2b7f0da3,dept_89380_source_2_68,budget.budget_account_5104010203,2000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89380,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0100,
budget_move_line_847_ca8c7a13,dept_89380_source_2_68,budget.budget_account_5104010216,750000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89380,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0100,
budget_move_line_848_012aab41,dept_89380_source_2_68,budget.budget_account_5103010000,10000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89380,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0100,
budget_move_line_849_1b42d95d,dept_89380_source_2_68,budget.budget_account_5104010101,80000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89380,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0100,
budget_move_line_850_20274ceb,dept_89380_source_2_68,budget.budget_account_5104010109,150000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89380,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0100,
budget_move_line_851_6d827d83,dept_89380_source_2_68,budget.budget_account_5104020005,4000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89380,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0100,
budget_move_line_852_3e0125a6,dept_89380_source_2_68,budget.budget_account_5104020099,4000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89380,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0100,
budget_move_line_853_df45f9f0,dept_89380_source_2_68,budget.budget_account_5104010204,50000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89380,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0600,
budget_move_line_833_7d5a98fa,dept_03040_source_2_68,budget.budget_account_5101020012,155600,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03040,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0200,
budget_move_line_857_60cb648d,dept_03040_source_2_68,budget.budget_account_5101020018,40000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03040,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0200,
budget_move_line_858_c29c8500,dept_03040_source_2_68,budget.budget_account_5104010203,50600,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03040,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0200,
budget_move_line_859_9980ee42,dept_03040_source_2_68,budget.budget_account_5103010000,250000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03040,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0200,
budget_move_line_860_1a551bad,dept_03040_source_2_68,budget.budget_account_5104010103,114800,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03040,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0200,
budget_move_line_861_05bb766f,dept_03040_source_2_68,budget.budget_account_5104010204,110800,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03040,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0600,
budget_move_line_862_19bb0677,dept_03040_source_2_68,budget.budget_account_5101020013,50000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03040,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_863_d78be529,dept_03040_source_2_68,budget.budget_account_5101020018,50000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03040,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_864_8040308a,dept_03040_source_2_68,budget.budget_account_5101020023,50000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03040,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_865_ef0de0de,dept_03040_source_2_68,budget.budget_account_5101020020,5000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03040,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_824_5f0062e3,dept_03150_source_2_68,budget.budget_account_5101020013,87200,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03150,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_825_f5ea08b6,dept_03150_source_2_68,budget.budget_account_5101020018,306600,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03150,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_826_5f546acd,dept_03150_source_2_68,budget.budget_account_5101020023,100000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03150,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_827_5ccb2312,dept_03150_source_2_68,budget.budget_account_5101020020,20000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03150,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_828_0016862a,dept_03150_source_2_68,budget.budget_account_5103010000,10000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03150,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_829_0644048d,dept_03150_source_2_68,budget.budget_account_5103020000,10000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03150,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_830_8b770483,dept_03150_source_2_68,budget.budget_account_5104010103,43500,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03150,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_831_8a4cbc77,dept_03150_source_2_68,budget.budget_account_5104010204,15000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03150,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0600,
budget_move_line_773_f0307465,dept_03050_source_2_68,budget.budget_account_5101020012,516900,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03050,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0200,
budget_move_line_774_ec40af0a,dept_03050_source_2_68,budget.budget_account_5101020018,282500,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03050,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0200,
budget_move_line_775_19e6d13a,dept_03050_source_2_68,budget.budget_account_5103010000,146200,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03050,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0200,
budget_move_line_776_1db09fc5,dept_03050_source_2_68,budget.budget_account_5104010103,187100,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03050,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0200,
budget_move_line_777_def97ed6,dept_03050_source_2_68,budget.budget_account_5107030003,100000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03050,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0200,
budget_move_line_778_ca8eddae,dept_03050_source_2_68,budget.budget_account_5104010204,175000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03050,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0600,
budget_move_line_779_ef13b571,dept_03050_source_2_68,budget.budget_account_5101020013,20000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03050,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_780_89f61db6,dept_03050_source_2_68,budget.budget_account_5101020018,82500,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03050,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_781_0d96f8a6,dept_03050_source_2_68,budget.budget_account_5101020023,85000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03050,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_782_c76ce206,dept_03050_source_2_68,budget.budget_account_5101020020,16500,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03050,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_783_16d45e98,dept_03050_source_2_68,budget.budget_account_5103010000,3800,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03050,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_784_a684a1d1,dept_03050_source_2_68,budget.budget_account_5104010103,22000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03050,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_760_3f93bee1,dept_89340_source_2_68,budget.budget_account_5101010000,0,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89340,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0100,งบบุคลากร จัดสรรภาพรวมไว้ที่งบกลาง
budget_move_line_761_601bb4b0,dept_89340_source_2_68,budget.budget_account_5104030201,170000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89340,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0100,
budget_move_line_762_9d19a883,dept_89340_source_2_68,budget.budget_account_5104010202,150000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89340,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0100,
budget_move_line_763_f6dce4a7,dept_89340_source_2_68,budget.budget_account_5103010000,10000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89340,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0100,
budget_move_line_764_5ed0f5f0,dept_89340_source_2_68,budget.budget_account_5104010101,100000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89340,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0100,
budget_move_line_765_296f3c49,dept_89340_source_2_68,budget.budget_account_5104010109,40000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89340,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0100,
budget_move_line_766_1b16c1cc,dept_89340_source_2_68,budget.budget_account_5104010204,30000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_89340,account_analytic_kmitl.activity_09007010110,account_analytic_kmitl.fund_0600,
budget_move_line_740_496ba0b8,dept_03140_source_2_68,budget.budget_account_5101020012,2097600,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03140,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0200,
budget_move_line_741_b034bf7c,dept_03140_source_2_68,budget.budget_account_5101020018,199800,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03140,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0200,
budget_move_line_742_a0206773,dept_03140_source_2_68,budget.budget_account_5103010000,527300,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03140,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0200,
budget_move_line_743_3e5a8de2,dept_03140_source_2_68,budget.budget_account_5104010103,400000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03140,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0200,
budget_move_line_744_a12967cb,dept_03140_source_2_68,budget.budget_account_5104010204,110000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03140,account_analytic_kmitl.activity_09007010220211,account_analytic_kmitl.fund_0600,
budget_move_line_745_1e0af8f5,dept_03140_source_2_68,budget.budget_account_5101020013,183300,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03140,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_746_64b55f3d,dept_03140_source_2_68,budget.budget_account_5101020018,147000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03140,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_747_bcea22d5,dept_03140_source_2_68,budget.budget_account_5101020023,32300,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03140,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_748_df5fb542,dept_03140_source_2_68,budget.budget_account_5101020020,7000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03140,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_749_62c2eb89,dept_03140_source_2_68,budget.budget_account_5103010000,27000,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03140,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
budget_move_line_750_b7ce57f5,dept_03140_source_2_68,budget.budget_account_5104010103,75500,account_analytic_kmitl.source_2,account_analytic_kmitl.dept_03140,account_analytic_kmitl.activity_09007010220212,account_analytic_kmitl.fund_0200,
