id,name,date_from,date_to
account_fiscal_year_y2557,2557,2013-10-01,2014-09-30
account_fiscal_year_y2558,2558,2014-10-01,2015-09-30
account_fiscal_year_y2559,2559,2015-10-01,2016-09-30
account_fiscal_year_y2560,2560,2016-10-01,2017-09-30
account_fiscal_year_y2561,2561,2017-10-01,2018-09-30
account_fiscal_year_y2562,2562,2018-10-01,2019-09-30
account_fiscal_year_y2563,2563,2019-10-01,2020-09-30
account_fiscal_year_y2564,2564,2020-10-01,2021-09-30
account_fiscal_year_y2565,2565,2021-10-01,2022-09-30
account_fiscal_year_y2566,2566,2022-10-01,2023-09-30
account_fiscal_year_y2567,2567,2023-10-01,2024-09-30
account_fiscal_year_y2568,2568,2024-10-01,2025-09-30
account_fiscal_year_y2569,2569,2025-10-01,2026-09-30
account_fiscal_year_y2570,2570,2026-10-01,2027-09-30
account_fiscal_year_y2571,2571,2027-10-01,2028-09-30
account_fiscal_year_y2572,2572,2028-10-01,2029-09-30
account_fiscal_year_y2573,2573,2029-10-01,2030-09-30
account_fiscal_year_y2574,2574,2030-10-01,2031-09-30
account_fiscal_year_y2575,2575,2031-10-01,2032-09-30
account_fiscal_year_y2576,2576,2032-10-01,2033-09-30
account_fiscal_year_y2577,2577,2033-10-01,2034-09-30
account_fiscal_year_y2578,2578,2034-10-01,2035-09-30
account_fiscal_year_y2579,2579,2035-10-01,2036-09-30
