"name","code","parent_id"
ศูนย์นวัตกรรมการผลิตเซมิคอนดักเตอร์ สจล. (KAISEM),--,คณะเทคโนโลยีนวัตกรรมบูรณาการ
ศูนย์วิจัยร่วมภาครัฐและเอกชน,--,คณะเทคโนโลยีนวัตกรรมบูรณาการ
ศูยน์ทดสอบและวิเคราะห์เทคโนโลยีขั้นสูง,--,คณะเทคโนโลยีนวัตกรรมบูรณาการ
คณะวิศวกรรมศาสตร์,"01",
ภาควิชาวิศวกรรมเกษตร,"01030",คณะวิศวกรรมศาสตร์
ภาควิชาวิศวกรรมคอมพิวเตอร์,"01040",คณะวิศวกรรมศาสตร์
ภาควิชาวิศวกรรมเคมี,"01050",คณะวิศวกรรมศาสตร์
ภาควิชาวิศวกรรมเครื่องกล,"01060",คณะวิศวกรรมศาสตร์
ภาควิชาวิศวกรรมโทรคมนาคม,"01070",คณะวิศวกรรมศาสตร์
ภาควิชาวิศวกรรมไฟฟ้า,"01080",คณะวิศวกรรมศาสตร์
ภาควิชาวิศวกรรมโยธา,"01090",คณะวิศวกรรมศาสตร์
ภาควิชาวิศวกรรมอาหาร,"01120",คณะวิศวกรรมศาสตร์
ภาควิชาวิศวกรรมอิเล็กทรอนิกส์,"01130",คณะวิศวกรรมศาสตร์
ภาควิชาวิศวกรรมอุตสาหการ,"01160",คณะวิศวกรรมศาสตร์
ส่วนสนับสนุนวิชาการ,"01170",คณะวิศวกรรมศาสตร์
ภาควิชาวิศวกรรมการวัดและควบคุม,"01280",คณะวิศวกรรมศาสตร์
ภาควิชาวิศวกรรมชีวการแพทย์,"01290",คณะวิศวกรรมศาสตร์
ศูนย์พัฒนานวัตกรรมและบริการทางวิศวกรรม,"01300",คณะวิศวกรรมศาสตร์
สำนักงานบริหารหลักสูตรวิศวกรรมสหวิทยาการนานาชาติ,"01310",คณะวิศวกรรมศาสตร์
ภาควิชาวิศวกรรมหุ่นยนต์และปัญญาประดิษฐ์,"01320",คณะวิศวกรรมศาสตร์
คณะสถาปัตยกรรม ศิลปะและการออกแบบ,"02",
ภาควิชาศิลปอุตสาหกรรม,"02020",คณะสถาปัตยกรรม ศิลปะและการออกแบบ
ภาควิชาสถาปัตยกรรมภายใน,"02040",คณะสถาปัตยกรรม ศิลปะและการออกแบบ
ภาควิชานิเทศศิลป์,"02050",คณะสถาปัตยกรรม ศิลปะและการออกแบบ
ส่วนสนับสนุนวิชาการ,"02090",คณะสถาปัตยกรรม ศิลปะและการออกแบบ
ภาควิชาสถาปัตยกรรมและการวางแผน,"02130",คณะสถาปัตยกรรม ศิลปะและการออกแบบ
ภาควิชาศิลปกรรม,"02140",คณะสถาปัตยกรรม ศิลปะและการออกแบบ
ศูนย์บูรณาการเทคโนโลยีเพื่อการแก้ไขปัญหาประเทศ,"02160",คณะสถาปัตยกรรม ศิลปะและการออกแบบ
ศูนย์วิจัยและการออกแบบงานสร้างสรรค์,"02180",คณะสถาปัตยกรรม ศิลปะและการออกแบบ
สำนักงานบริหารหลักสูตรสถาปัตยกรรมสหวิทยาการนานาชาติ,"02200",คณะสถาปัตยกรรม ศิลปะและการออกแบบ
คณะครุศาสตร์อุตสาหกรรมและเทคโนโลยี,"03",
ภาควิชาครุศาสตร์อุตสาหกรรม,"03020",คณะครุศาสตร์อุตสาหกรรมและเทคโนโลยี
ภาควิชาครุศาสตร์เกษตร,"03040",คณะครุศาสตร์อุตสาหกรรมและเทคโนโลยี
ภาควิชาครุศาสตร์วิศวกรรม,"03050",คณะครุศาสตร์อุตสาหกรรมและเทคโนโลยี
ส่วนสนับสนุนวิชาการ,"03070",คณะครุศาสตร์อุตสาหกรรมและเทคโนโลยี
ศูนย์นวัตกรรมและเทคโนโลยีทางการศึกษา,"03130",คณะครุศาสตร์อุตสาหกรรมและเทคโนโลยี
ภาควิชาครุศาสตร์สถาปัตยกรรมและการออกแบบ,"03140",คณะครุศาสตร์อุตสาหกรรมและเทคโนโลยี
สำนักงานนานาชาติครุศาสตร์อุตสาหกรรมและเทคโนโลยี,"03150",คณะครุศาสตร์อุตสาหกรรมและเทคโนโลยี
คณะเทคโนโลยีการเกษตร,"04",
