id,name,code,parent_id/id
product_category_23000000,ยานพาหนะพื้นดิน ยานยนต์  รถพ่วง  และจักรยาน,23000000,
product_category_23100000,ยานยนต์โดยสาร,23100000,product_category_23000000
product_category_23100300,รถยนต์นั่งเก๋ง,23100300,product_category_23100000
product_category_23100500,รถโดยสาร,23100500,product_category_23100000
product_category_23101100,รถกะบะโดยสาร,23101100,product_category_23100000
product_category_23200000,รถบรรทุกและรถลากจูงใช้ล้อ,23200000,product_category_23000000
product_category_23204500,รถบรรทุก,23204500,product_category_23200000
product_category_23400000,รถจักรยานยนต์และจักรยาน,23400000,product_category_23000000
product_category_23400200,รถจักรยาน,23400200,product_category_23400000
product_category_23400500,รถจักรยานยนต์,23400500,product_category_23400000
product_category_23400800,รถสามล้อ,23400800,product_category_23400000
product_category_25000000,ส่วนประกอบของยานพาหนะ,25000000,
product_category_25400000,เครื่องใช้และเครื่องตกแต่งยานพาหนะ,25400000,product_category_25000000
product_category_25402900,หลังคารถ,25402900,product_category_25400000
product_category_25403100,เก้าอี้ปรับเอนนอน,25403100,product_category_25400000
product_category_28000000,เครื่องยนต์  เทอร์ไบน์ และส่วนประกอบ,28000000,
product_category_28950000,เครื่องยนต์อื่นๆ,28950000,product_category_28000000
product_category_28950300,เครื่องยนต์เบนซิน,28950300,product_category_28950000
product_category_28950400,เครื่องยนต์ดีเซล,28950400,product_category_28950000
product_category_32000000,อุปกรณ์และเครื่องจักรงานไม้,32000000,
product_category_32100000,เครื่องจักรหนักใสไม้  แลเครื่องจักรเลื่อยไม้,32100000,product_category_32000000
product_category_32200000,เครื่องจักรเบางานไม้,32200000,product_category_32000000
product_category_32200900,เครื่องขัดกระดาษทรายใช้ไฟฟ้า  ชนิดมือถือ,32200900,product_category_32200000
product_category_32201000,เครื่องขัดกระดาษทราย  ชนิดตั้งพื้น,32201000,product_category_32200000
product_category_34000000,เครื่องจักรงานโลหะ,34000000,
product_category_34160000,เครื่องกลึง,34160000,product_category_34000000
product_category_34170000,เครื่องกัด,34170000,product_category_34000000
product_category_34300000,เครื่องเชื่อม,34300000,product_category_34000000
product_category_34300100,เครื่องเชื่อมไฟฟ้า,34300100,product_category_34300000
product_category_34300200,เครื่องเชื่อมด้วยแก๊ส,34300200,product_category_34300000
product_category_34300300,เครื่องเชื่อมด้วยอาร์กอน,34300300,product_category_34300000
product_category_34410000,เครื่องดัดและขึ้นรูป,34410000,product_category_34000000
product_category_34410100,เครื่องตัดแบบต่าง ๆ,34410100,product_category_34410000
product_category_34490000,เครื่องตัดและขึ้นรูปโลหะอื่นๆ,34490000,product_category_34000000
product_category_34490400,เครื่องลับแบบต่างๆ,34490400,product_category_34490000
product_category_34490600,เครื่องตัดเหล็ก,34490600,product_category_34490000
product_category_34500000,เครื่องมือกลเคลื่อนย้ายได้,34500000,product_category_34000000
product_category_34500200,สว่านแบบต่างๆ,34500200,product_category_34500000
product_category_35000000,อุปกรณ์การบริการ,35000000,
product_category_35100000,อุปกรณ์การซักล้าง  และการซักแห้ง,35100000,product_category_35000000
product_category_35100500,เครื่องรีดแบบต่างๆ,35100500,product_category_35100000
product_category_35101100,เครื่องซักผ้า,35101100,product_category_35100000
product_category_35101200,เครื่องอบผ้า,35101200,product_category_35100000
product_category_35170000,เครื่องกัด,35170000,product_category_35000000
product_category_36000000,เครื่องจักรกลเฉพาะงานอุตสาหกรรม,36000000,
product_category_36100000,อุปกรณ์การพิมพ์  เข้าเล่ม  และเย็บเล่ม,36100000,product_category_36000000
product_category_36100100,เครื่องพิมพ์เขียว,36100100,product_category_36100000
product_category_36100400,กล้องถ่ายภาพ,36100400,product_category_36100000
product_category_36100700,เครื่องตัดกระดาษ,36100700,product_category_36100000
product_category_36102100,เครื่องเข้าเล่มและเย็บเล่ม,36102100,product_category_36100000
product_category_36102200,เครื่องเจาะกระดาษ,36102200,product_category_36100000
product_category_36102300,เครื่องพิมพ์ออปเซ็ท,36102300,product_category_36100000
product_category_36102400,เครื่องถ่ายเพลท,36102400,product_category_36100000
product_category_36102500,เครื่องอบเพลท,36102500,product_category_36100000
product_category_36200000,เครื่องจักรงานยางและพลาสติก,36200000,product_category_36000000
product_category_36200300,เครื่องรีดยาง,36200300,product_category_36200000
product_category_36200700,เครื่องผสมพลาสติก TWO-ROLL  MILL,36200700,product_category_36200000
product_category_36200800,เครื่องฉีดพลาสติก,36200800,product_category_36200000
product_category_36200900,เครื่องขัดพลาสติก,36200900,product_category_36200000
product_category_36550000,ระบบผลิตและจ่ายแก๊สประจำที่และเคลี่อนที่,36550000,product_category_36000000
product_category_36550300,ถังบรรจุแก๊สต่างๆ,36550300,product_category_36550000
product_category_37000000,เครื่องจักรและอุปกรณ์การเกษตร,37000000,
product_category_37400000,อุปกรณ์กำจัดแมลง  เชื้อโรค  และโรคหิมะ,37400000,product_category_37000000
product_category_37400200,เครื่องพ่นยาฆ่าแมลง,37400200,product_category_37400000
product_category_37500000,เครื่องมือเครื่องใช้ในการทำสวน,37500000,product_category_37000000
product_category_37500200,เครื่องตัดหญ้า,37500200,product_category_37500000
product_category_37501100,คราด,37501100,product_category_37500000
product_category_37600000,ยานพาหนะเทียลาก  และรถพ่วงงานไร่นา,37600000,product_category_37000000
product_category_37600500,รถพ่วง,37600500,product_category_37600000
product_category_37600600,รถไถ,37600600,product_category_37600000
product_category_37600700,พานไถ,37600700,product_category_37600000
product_category_37600800,ใบมีดหน้า,37600800,product_category_37600000
product_category_37600900,ชุดตัดหญ้า,37600900,product_category_37600000
product_category_37700000,อานม้า  เครื่องลากจูง  เครื่องเทียม,37700000,product_category_37000000
product_category_37700100,กรงสัตว์,37700100,product_category_37700000
product_category_37701100,เครื่องตัดแต่งซาก,37701100,product_category_37700000
product_category_37701200,เครื่องตัดปากไก่,37701200,product_category_37700000
product_category_37800000,เครื่องจักรและอุปกรณ์การเกษตรอื่นๆ,37800000,product_category_37000000
