default_code,name,categ_id/id,detailed_type,uom_id/id,uom_po_id/id
41100101,ตู้เย็น,product_category_41100100,product,uom.product_uom_unit,uom.product_uom_unit
41100301,เครื่องทำน้ำเย็น  แบบขวดพลาสติกครอบ,product_category_41100300,product,uom.product_uom_unit,uom.product_uom_unit
41100302,เครื่องทำน้ำเย็น แบบต่อท่อน้ำเย็น,product_category_41100300,product,uom.product_uom_unit,uom.product_uom_unit
41100801,ตู้แช่,product_category_41100800,product,uom.product_uom_unit,uom.product_uom_unit
74400103,เครื่องมินิคอมพิวเตอร์,product_category_74400100,product,uom.product_uom_unit,uom.product_uom_unit
74400104,เครื่องเมนเฟรมคอมพิวเตอร์,product_category_74400100,product,uom.product_uom_unit,uom.product_uom_unit
74400105,เครื่องไมโครคอมพิวเตอร์ 8 บิท,product_category_74400100,product,uom.product_uom_unit,uom.product_uom_unit
74400106,คอมพิวเตอร์จำลอง,product_category_74400100,product,uom.product_uom_unit,uom.product_uom_unit
74400107,คอมพิวเตอร์แบบกระเป๋าหิ้ว,product_category_74400100,product,uom.product_uom_unit,uom.product_uom_unit
74400901,เครื่องฉายภาพจากคอมพิวเตอร์,product_category_74400900,product,uom.product_uom_unit,uom.product_uom_unit
74400902,เครื่องเก็บภาพและจอแสดงผล,product_category_74400900,product,uom.product_uom_unit,uom.product_uom_unit
74401001,เครื่องอ่านและบันทึกข้อมูล แบบ DISK,product_category_74401000,product,uom.product_uom_unit,uom.product_uom_unit
74401002,เครื่องอ่านและบันทึกข้อมูล แบบ HARDDISK,product_category_74401000,product,uom.product_uom_unit,uom.product_uom_unit
45101601,ก๊อกซิงค์คอยาว,product_category_45101600,product,uom.product_uom_unit,uom.product_uom_unit
45101602,ก๊อกอ่างน้ำทิ้งโลหะ (ปัสสาวะน้ำทิ้ง K 1200),product_category_45101600,product,uom.product_uom_unit,uom.product_uom_unit
45101603,"ก๊อกโถปัสสาวะแบบกด 1/2 (UF45 , AE197)",product_category_45101600,product,uom.product_uom_unit,uom.product_uom_unit
45101604,ก๊อกสนาม 1/2 นิ้ว,product_category_45101600,product,uom.product_uom_unit,uom.product_uom_unit
45101605,ก๊อกอ่างล้างหน้า,product_category_45101600,product,uom.product_uom_unit,uom.product_uom_unit
45101606,ก๊อกบอลวาล์ว 1/2 นิ้ว (4 หุน),product_category_45101600,product,uom.product_uom_unit,uom.product_uom_unit
45101607,ก๊อกบอลวาล์ว 3/4 นิ้ว (6 หุน),product_category_45101600,product,uom.product_uom_unit,uom.product_uom_unit
45101608,ก๊อกน้ำแบบหัวแก้ว,product_category_45101600,product,uom.product_uom_unit,uom.product_uom_unit
45101609,ก๊อกบอลวาล์วกุญแจ 1/2 นิ้ว,product_category_45101600,product,uom.product_uom_unit,uom.product_uom_unit
45101610,อะไหล่ชักโครก,product_category_45101600,product,uom.product_uom_unit,uom.product_uom_unit
45101611,ชุดน้ำทิ้ง,product_category_45101600,product,uom.product_uom_unit,uom.product_uom_unit
45101612,ถ้วยทองเหลืองอุปกรณ์ปัสสาวะชาย,product_category_45101600,product,uom.product_uom_unit,uom.product_uom_unit
45101613,ฟลัชวาล์วชักโครก (CF 50 L),product_category_45101600,product,uom.product_uom_unit,uom.product_uom_unit
45101614,สายน้ำดี ยาว 14 นิ้ว,product_category_45101600,product,uom.product_uom_unit,uom.product_uom_unit
45101615,สายน้ำดี ยาว 16 นิ้ว,product_category_45101600,product,uom.product_uom_unit,uom.product_uom_unit
45101616,สายน้ำดี ยาว 18 นิ้ว,product_category_45101600,product,uom.product_uom_unit,uom.product_uom_unit
45101617,ลูกลอย 4 หุน,product_category_45101600,product,uom.product_uom_unit,uom.product_uom_unit
46100801,เครื่องกรองน้ำ,product_category_46100800,product,uom.product_uom_unit,uom.product_uom_unit
46100802,เครื่องทำน้ำเย็นบริสุทธิ์,product_category_46100800,product,uom.product_uom_unit,uom.product_uom_unit
46100901,เทปพันเกลียว,product_category_46100900,product,uom.product_uom_unit,uom.product_uom_unit
46200101,เครื่องกลั่นน้ำ,product_category_46200100,product,uom.product_uom_unit,uom.product_uom_unit
46200102,ชุดกลั่น  DISTILLATION  SET,product_category_46200100,product,uom.product_uom_unit,uom.product_uom_unit
46300501,เครื่องยิงสิ่งอุดตัน แบบใช้ลม,product_category_46300500,product,uom.product_uom_unit,uom.product_uom_unit
