id,code,name,parent_id/id,level
Y00,Y00,แผนยุทธศาสตร์ชาติ 20 ปี,,1
Y101,Y101,1. ด้านความมั่นคง,Y00,1
Y1010101,Y1010101,เป้าหมายที่ 1.1 ประชาชนอยู่ดี กินดี และมีความสุข,Y101,1
Y1010102,Y1010102,เป้าหมายที่ 1.2 บ้านเมืองมีความมั่นคงในทุกมิติและทุกระดับ,Y101,1
Y1010103,Y1010103,เป้าหมายที่ 1.3 กองทัพ หน่วยงานด้านความมั่นคง ภาครัฐ ภาคเอกชน และภาคประชาชน มีความพร้อมในการป้องกันและแก้ไขปัญหาความมั่นคง,Y101,1
Y1010104,Y1010104,เป้าหมายที่ 1.4 ประเทศไทยมีบทบาทด้านความมั่นคงเป็นที่ชื่นชมและได้รับการยอมรับโดยประชาคมระหว่างประเทศ,Y101,1
Y1010105,Y1010105,เป้าหมายที่ 1.5 การบริหารจัดการความมั่นคงมีผลสำเร็จที่เป็นรูปธรรมอย่างมีประสิทธิภาพ,Y101,1
Y201,Y201,2. ด้านการสร้างความสามารถในการแข่งขัน,Y00,1
Y2010101,Y2010101,เป้าหมายที่ 2.1 ประเทศไทยเป็นประเทศที่พัฒนาแล้ว เศรษฐกิจเติบโตอย่างมีเสถียรภาพและยั่งยืน,Y201,1
Y2010102,Y2010102,เป้าหมายที่ 2.2 ประเทศไทยมีขีดความสามารถในการแข่งขันสูงขึ้น,Y201,1
Y301,Y301,3. ด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,Y00,1
Y3010101,Y3010101,เป้าหมายที่ 3.1 คนไทยเป็นคนดี คนเก่ง มีคุณภาพ พร้อมสำหรับวิถีชีวิตในศตวรรษที่ 21,Y301,1
Y3010102,Y3010102,เป้าหมายที่ 3.2 สังคมไทยมีสภาพแวดล้อมที่เอื้อและสนับสนุนต่อการพัฒนาคนตลอดช่วงชีวิต,Y301,1
Y401,Y401,4. ด้านการสร้างโอกาสและความเสมอภาคทางสังคม,Y00,1
Y4010101,Y4010101,เป้าหมายที่ 4.1 สร้างความเป็นธรรม และลดความเหลื่อมล้ำในทุกมิติ,Y401,1
Y4010102,Y4010102,เป้าหมายที่ 4.2 กระจายศูนย์กลางความเจริญทางเศรษฐกิจและสังคม เพิ่มโอกาสให้ทุกภาคส่วนเข้ามาเป็นกำลังของการพัฒนาประเทศในทุกระดับ,Y401,1
Y4010103,Y4010103,เป้าหมายที่ 4.3 เพิ่มขีดความสามารถของชุมชนท้องถิ่นในการพัฒนา การพึ่งตนเองและการจัดการตนเองเพื่อสร้างสังคมคุณภาพ,Y401,1
Y501,Y501,5. ด้านการสร้างการเติบโตบนคุณภาพชีวิตที่เป็นมิตรต่อสิ่งแวดล้อม,Y00,1
Y5010101,Y5010101,เป้าหมายที่ 5.1 อนุรักษ์และรักษาทรัพยากรธรรมชาติ สิ่งแวดล้อม และวัฒนธรรม ให้คนรุ่นต่อไปได้ใช้อย่างยั่งยืน มีสมดุล,Y501,1
Y5010102,Y5010102,เป้าหมายที่ 5.2 ฟื้นฟูและสร้างใหม่ฐานทรัพยากรธรรมชาติและสิ่งแวดล้อม เพื่อลดผลกระทบทางลบจากการพัฒนาสังคมเศรษฐกิจของประเทศ,Y501,1
Y5010103,Y5010103,เป้าหมายที่ 5.3 ใช้ประโยชน์และสร้างการเติบโต บนฐานทรัพยากรธรรมชาติและสิ่งแวดล้อมให้สมดุลภายในขีดความสามารถของระบบนิเวศ,Y501,1
Y5010104,Y5010104,เป้าหมายที่ 5.4 ยกระดับกระบวนทัศน์เพื่อกำหนดอนาคตประเทศด้านทรัพยากรธรรมชาติสิ่งแวดล้อมและวัฒนธรรม บนหลักของการมีส่วนร่วม และธรรมาภิบาล,Y501,1
Y601,Y601,6. ด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,Y00,1
Y6010101,Y6010101,เป้าหมายที่ 6.1 ภาครัฐมีวัฒนธรรมการทำงานที่มุ่งผลสัมฤทธิ์และผลประโยชน์ส่วนรวม ตอบสนองความต้องการของประชาชนได้อย่างสะดวก รวดเร็ว โปร่งใส,Y601,1
Y6010102,Y6010102,เป้าหมายที่ 6.2 ภาครัฐมีขนาดที่เล็กลง พร้อมปรับตัวให้ทันต่อการเปลี่ยนแปลง,Y601,1
Y6010103,Y6010103,เป้าหมายที่ 6.3 ภาครัฐมีความโปร่งใส ปลอดการทุจริตและประพฤติมิชอบ,Y601,1
Y6010104,Y6010104,เป้าหมายที่ 6.4 กระบวนการยุติธรรม เป็นไปเพื่อประโยชน์ต่อส่วนรวมของประเทศ,Y601,1
MP,MP,แผนแม่บทภายใต้ยุทธศาสตร์ชาติ,,2
MP01,MP01,1. ประเด็นความมั่นคง,MP,2
MP0101,MP0101,แผนย่อยที่ 1.1 แผนย่อยการรักษาความสงบภายในประเทศ,MP01,2
MP0102,MP0102,แผนย่อยที่ 1.2 แผนย่อยการป้องกันและแก้ไขปัญหาที่มีผลกระทบต่อความมั่นคง,MP01,2
MP0103,MP0103,แผนย่อยที่ 1.3 แผนย่อยการพัฒนาศักยภาพของประเทศให้พร้อมเผชิญภัยคุกคามที่กระทบต่อความมั่นคงของชาติ,MP01,2
MP0104,MP0104,แผนย่อยที่ 1.4 แผนย่อยการบูรณาการความร่วมมือด้านความมั่นคงกับอาเซียน และนานาชาติ รวมทั้งองค์กรภาครัฐ และมิใช่ภาครัฐ,MP01,2
