id,name,assign_on_pr,filter_domain_pr,assign_on_pa,filter_domain_pa,assign_on_po,filter_domain_po
pr_rule_01,PR คณะวิศวกรรมศาสตร์,True,"[('department_id.code', 'in', ['01'])]",,,,
pr_rule_01030,PR ภาควิชาวิศวกรรมเกษตร,True,"[('department_id.code', 'in', ['01030'])]",,,,
pr_rule_01040,PR ภาควิชาวิศวกรรมคอมพิวเตอร์,True,"[('department_id.code', 'in', ['01040'])]",,,,
pr_rule_01050,PR ภาควิชาวิศวกรรมเคมี,True,"[('department_id.code', 'in', ['01050'])]",,,,
pr_rule_01060,PR ภาควิชาวิศวกรรมเครื่องกล,True,"[('department_id.code', 'in', ['01060'])]",,,,
pr_rule_01070,PR ภาควิชาวิศวกรรมโทรคมนาคม,True,"[('department_id.code', 'in', ['01070'])]",,,,
pr_rule_01080,PR ภาควิชาวิศวกรรมไฟฟ้า,True,"[('department_id.code', 'in', ['01080'])]",,,,
pr_rule_01090,PR ภาควิชาวิศวกรรมโยธา,True,"[('department_id.code', 'in', ['01090'])]",,,,
pr_rule_01120,PR ภาควิชาวิศวกรรมอาหาร,True,"[('department_id.code', 'in', ['01120'])]",,,,
pr_rule_01130,PR ภาควิชาวิศวกรรมอิเล็กทรอนิกส์,True,"[('department_id.code', 'in', ['01130'])]",,,,
pr_rule_01160,PR ภาควิชาวิศวกรรมอุตสาหการ,True,"[('department_id.code', 'in', ['01160'])]",,,,
pr_rule_01170,PR ส่วนสนับสนุนวิชาการ,True,"[('department_id.code', 'in', ['01170'])]",,,,
pr_rule_01280,PR ภาควิชาวิศวกรรมการวัดและควบคุม,True,"[('department_id.code', 'in', ['01280'])]",,,,
pr_rule_01290,PR ภาควิชาวิศวกรรมชีวการแพทย์,True,"[('department_id.code', 'in', ['01290'])]",,,,
pr_rule_01300,PR ศูนย์พัฒนานวัตกรรมและบริการทางวิศวกรรม,True,"[('department_id.code', 'in', ['01300'])]",,,,
pr_rule_01310,PR สำนักงานบริหารหลักสูตรวิศวกรรมสหวิทยาการนานาชาติ,True,"[('department_id.code', 'in', ['01310'])]",,,,
pr_rule_01320,PR ภาควิชาวิศวกรรมหุ่นยนต์และปัญญาประดิษฐ์,True,"[('department_id.code', 'in', ['01320'])]",,,,
pr_rule_02,PR คณะสถาปัตยกรรม ศิลปะและการออกแบบ,True,"[('department_id.code', 'in', ['02'])]",,,,
pr_rule_02020,PR ภาควิชาศิลปอุตสาหกรรม,True,"[('department_id.code', 'in', ['02020'])]",,,,
pr_rule_02040,PR ภาควิชาสถาปัตยกรรมภายใน,True,"[('department_id.code', 'in', ['02040'])]",,,,
pr_rule_02050,PR ภาควิชานิเทศศิลป์,True,"[('department_id.code', 'in', ['02050'])]",,,,
pr_rule_02090,PR ส่วนสนับสนุนวิชาการ,True,"[('department_id.code', 'in', ['02090'])]",,,,
pr_rule_02130,PR ภาควิชาสถาปัตยกรรมและการวางแผน,True,"[('department_id.code', 'in', ['02130'])]",,,,
pr_rule_02140,PR ภาควิชาศิลปกรรม,True,"[('department_id.code', 'in', ['02140'])]",,,,
pr_rule_02160,PR ศูนย์บูรณาการเทคโนโลยีเพื่อการแก้ไขปัญหาประเทศ,True,"[('department_id.code', 'in', ['02160'])]",,,,
pr_rule_02180,PR ศูนย์วิจัยและการออกแบบงานสร้างสรรค์,True,"[('department_id.code', 'in', ['02180'])]",,,,
pr_rule_02200,PR สำนักงานบริหารหลักสูตรสถาปัตยกรรมสหวิทยาการนานาชาติ,True,"[('department_id.code', 'in', ['02200'])]",,,,
pr_rule_03,PR คณะครุศาสตร์อุตสาหกรรมและเทคโนโลยี,True,"[('department_id.code', 'in', ['03'])]",,,,
pr_rule_03020,PR ภาควิชาครุศาสตร์อุตสาหกรรม,True,"[('department_id.code', 'in', ['03020'])]",,,,
pr_rule_03040,PR ภาควิชาครุศาสตร์เกษตร,True,"[('department_id.code', 'in', ['03040'])]",,,,
pr_rule_03050,PR ภาควิชาครุศาสตร์วิศวกรรม,True,"[('department_id.code', 'in', ['03050'])]",,,,
pr_rule_03070,PR ส่วนสนับสนุนวิชาการ,True,"[('department_id.code', 'in', ['03070'])]",,,,
pr_rule_03130,PR ศูนย์นวัตกรรมและเทคโนโลยีทางการศึกษา,True,"[('department_id.code', 'in', ['03130'])]",,,,
pr_rule_03140,PR ภาควิชาครุศาสตร์สถาปัตยกรรมและการออกแบบ,True,"[('department_id.code', 'in', ['03140'])]",,,,
pr_rule_03150,PR สำนักงานนานาชาติครุศาสตร์อุตสาหกรรมและเทคโนโลยี,True,"[('department_id.code', 'in', ['03150'])]",,,,
pr_rule_04,PR คณะเทคโนโลยีการเกษตร,True,"[('department_id.code', 'in', ['04'])]",,,,
pr_rule_04040,PR ภาควิชาเทคโนโลยีการผลิตพืช,True,"[('department_id.code', 'in', ['04040'])]",,,,
pr_rule_04110,PR ส่วนสนับสนุนวิชาการ,True,"[('department_id.code', 'in', ['04110'])]",,,,
pr_rule_04150,PR ศูนย์วิจัยร่วมภาครัฐและเอกชน,True,"[('department_id.code', 'in', ['04150'])]",,,,
pr_rule_04160,PR ภาควิชาเทคโนโลยีการผลิตสัตว์และประมง,True,"[('department_id.code', 'in', ['04160'])]",,,,
pr_rule_04170,PR ภาควิชานวัตกรรมการสื่อสารและพัฒนาการเกษตร,True,"[('department_id.code', 'in', ['04170'])]",,,,
pr_rule_04180,PR สำนักงานบริหารหลักสูตรสหวิทยาการเทคโนโลยีการเกษตร,True,"[('department_id.code', 'in', ['04180'])]",,,,
pr_rule_05,PR คณะวิทยาศาสตร์,True,"[('department_id.code', 'in', ['05'])]",,,,
pr_rule_05100,PR ส่วนสนับสนุนวิชาการ,True,"[('department_id.code', 'in', ['05100'])]",,,,
pr_rule_05170,PR ศูนย์เครื่องมือวิทยาศาสตร์,True,"[('department_id.code', 'in', ['05170'])]",,,,
pr_rule_05180,PR ภาควิชาฟิสิกส์,True,"[('department_id.code', 'in', ['05180'])]",,,,
pr_rule_05190,PR ภาควิชาคณิตศาสตร์,True,"[('department_id.code', 'in', ['05190'])]",,,,
pr_rule_05200,PR ภาควิชาวิทยาการคอมพิวเตอร์,True,"[('department_id.code', 'in', ['05200'])]",,,,
pr_rule_05210,PR ภาควิชาสถิติ,True,"[('department_id.code', 'in', ['05210'])]",,,,
pr_rule_05220,PR ภาควิชาชีววิทยา,True,"[('department_id.code', 'in', ['05220'])]",,,,
pr_rule_05230,PR ภาควิชาเคมี,True,"[('department_id.code', 'in', ['05230'])]",,,,
pr_rule_05240,PR ศูนย์วิเคราะห์ข้อมูลดิจิทัลอัจฉริยะพระจอมเกล้าลาดกระบัง,True,"[('department_id.code', 'in', ['05240'])]",,,,
pr_rule_06,PR คณะเทคโนโลยีสารสนเทศ,True,"[('department_id.code', 'in', ['06'])]",,,,
pr_rule_06030,PR ส่วนสนับสนุนวิชาการ,True,"[('department_id.code', 'in', ['06030'])]",,,,
pr_rule_06040,PR สาขาวิชาเทคโนโลยีสารสนเทศ,True,"[('department_id.code', 'in', ['06040'])]",,,,
pr_rule_06050,PR ศูนย์ความเป็นเลิศทางเทคโนโลยีเชิงลึก,True,"[('department_id.code', 'in', ['06050'])]",,,,
pr_rule_08,PR สำนักทะเบียนและบริการการศึกษา,True,"[('department_id.code', 'in', ['08'])]",,,,
