id,name
uom_categ_kmitl_weight,KMITL หน่วยน้ำหนัก
uom_categ_kmitl_length,KMITL หน่วยความยาว
uom_categ_kmitl_volume,KMITL หน่วยปริมาตร
uom_categ_kmitl_01,กล้อง
uom_categ_kmitl_02,คัน
uom_categ_kmitl_03,คู่
uom_categ_kmitl_04,เครื่อง
uom_categ_kmitl_05,จอ
uom_categ_kmitl_06,ชุด
uom_categ_kmitl_07,ตู้
uom_categ_kmitl_08,ตัว
uom_categ_kmitl_09,เตา
uom_categ_kmitl_11,ที่
uom_categ_kmitl_13,แท่ง
uom_categ_kmitl_14,แท่น
uom_categ_kmitl_15,แผ่น
uom_categ_kmitl_16,ผืน
uom_categ_kmitl_17,หลอด
uom_categ_kmitl_18,หัว
uom_categ_kmitl_19,อัน
uom_categ_kmitl_20,องค์
uom_categ_kmitl_21,รูป
uom_categ_kmitl_22,กรง
uom_categ_kmitl_23,แฟ้ม
uom_categ_kmitl_24,กล่อง
uom_categ_kmitl_25,เล่ม
uom_categ_kmitl_26,ซอง
uom_categ_kmitl_28,ม้วน
uom_categ_kmitl_29,กระป๋อง
uom_categ_kmitl_30,ก้อน
uom_categ_kmitl_31,รีม
uom_categ_kmitl_32,ห่อ
uom_categ_kmitl_33,ตลับ
uom_categ_kmitl_35,ใบ
uom_categ_kmitl_36,เส้น
uom_categ_kmitl_37,ลูก
uom_categ_kmitl_40,ถุง
uom_categ_kmitl_41,พับ
uom_categ_kmitl_42,ราง
uom_categ_kmitl_43,แพ็ค
uom_categ_kmitl_44,ชิ้น
uom_categ_kmitl_45,โคม
