id,name,category_id:id,uom_type,factor,rounding,active
uom_kmitl_01,กล้อง,uom_categ_kmitl_01,reference,1.0,1.0,True
uom_kmitl_02,คัน,uom_categ_kmitl_02,reference,1.0,1.0,True
uom_kmitl_03,คู่,uom_categ_kmitl_03,reference,1.0,1.0,True
uom_kmitl_04,เครื่อง,uom_categ_kmitl_04,reference,1.0,1.0,True
uom_kmitl_05,จอ,uom_categ_kmitl_05,reference,1.0,1.0,True
uom_kmitl_06,ชุด,uom_categ_kmitl_06,reference,1.0,1.0,True
uom_kmitl_07,ตู้,uom_categ_kmitl_07,reference,1.0,1.0,True
uom_kmitl_08,ตัว,uom_categ_kmitl_08,reference,1.0,1.0,True
uom_kmitl_09,เตา,uom_categ_kmitl_09,reference,1.0,1.0,True
uom_kmitl_10,ถัง,uom_categ_kmitl_volume,bigger,1.0,0.01,True
uom_kmitl_11,ที่,uom_categ_kmitl_11,reference,1.0,1.0,True
uom_kmitl_12,แท้งค์,uom_categ_kmitl_volume,bigger,1.0,0.01,True
uom_kmitl_13,แท่ง,uom_categ_kmitl_13,reference,1.0,1.0,True
uom_kmitl_14,แท่น,uom_categ_kmitl_14,reference,1.0,1.0,True
uom_kmitl_15,แผ่น,uom_categ_kmitl_15,reference,1.0,1.0,True
uom_kmitl_16,ผืน,uom_categ_kmitl_16,reference,1.0,1.0,True
uom_kmitl_17,หลอด,uom_categ_kmitl_17,reference,1.0,1.0,True
uom_kmitl_18,หัว,uom_categ_kmitl_18,reference,1.0,1.0,True
uom_kmitl_19,อัน,uom_categ_kmitl_19,reference,1.0,1.0,True
uom_kmitl_20,องค์,uom_categ_kmitl_20,reference,1.0,1.0,True
uom_kmitl_21,รูป,uom_categ_kmitl_21,reference,1.0,1.0,True
uom_kmitl_22,กรง,uom_categ_kmitl_22,reference,1.0,1.0,True
uom_kmitl_23,แฟ้ม,uom_categ_kmitl_23,reference,1.0,1.0,True
uom_kmitl_24,กล่อง,uom_categ_kmitl_24,reference,1.0,1.0,True
uom_kmitl_25,เล่ม,uom_categ_kmitl_25,reference,1.0,1.0,True
uom_kmitl_26,ซอง,uom_categ_kmitl_26,reference,1.0,1.0,True
uom_kmitl_27,ขวด,uom_categ_kmitl_volume,bigger,1.0,0.01,True
uom_kmitl_28,ม้วน,uom_categ_kmitl_28,reference,1.0,1.0,True
uom_kmitl_29,กระป๋อง,uom_categ_kmitl_29,reference,1.0,1.0,True
uom_kmitl_30,ก้อน,uom_categ_kmitl_30,reference,1.0,1.0,True
uom_kmitl_31,รีม,uom_categ_kmitl_31,reference,1.0,1.0,True
uom_kmitl_32,ห่อ,uom_categ_kmitl_32,reference,1.0,1.0,True
uom_kmitl_33,ตลับ,uom_categ_kmitl_33,reference,1.0,1.0,True
uom_kmitl_34,เมตร,uom_categ_kmitl_length,reference,1.0,0.01,True
uom_kmitl_35,ใบ,uom_categ_kmitl_35,reference,1.0,1.0,True
uom_kmitl_36,เส้น,uom_categ_kmitl_36,reference,1.0,1.0,True
uom_kmitl_37,ลูก,uom_categ_kmitl_37,reference,1.0,1.0,True
uom_kmitl_38,แกลลอน,uom_categ_kmitl_volume,reference,1.0,0.01,True
uom_kmitl_39,กิโลกรัม,uom_categ_kmitl_weight,reference,1.0,0.01,True
uom_kmitl_40,ถุง,uom_categ_kmitl_40,reference,1.0,1.0,True
uom_kmitl_41,พับ,uom_categ_kmitl_41,reference,1.0,1.0,True
uom_kmitl_42,ราง,uom_categ_kmitl_42,reference,1.0,1.0,True
uom_kmitl_43,แพ็ค,uom_categ_kmitl_43,reference,1.0,1.0,True
uom_kmitl_44,ชิ้น,uom_categ_kmitl_44,reference,1.0,1.0,True
uom_kmitl_45,โคม,uom_categ_kmitl_45,reference,1.0,1.0,True
